#{"t_start": 1738319537.8338854, "env_id": null}
r,l,t
-16692.0,8000,2663.303758
2018213.8,8000,2668.325016
1406.8,8000,2673.375071
2105216.8,8000,2678.387065
1766562.4,8000,2683.397483
1103781.6,8000,2690.606557
683289.0,8000,2695.596074
1133238.4,8000,2700.583394
1449857.4,8000,2705.570636
854387.2,8000,2710.554974
2270564.4,8000,2717.744093
2512547.2,8000,2722.741906
2280847.0,8000,2727.748538
1622134.0,8000,2732.746631
2492317.8,8000,2737.743023
898702.4,8000,2744.914947
2436726.0,8000,2749.921311
672856.2,8000,2754.916451
2299995.2,8000,2759.919465
1273904.8,8000,2764.926711
1047016.6,8000,2772.092242
-15229.8,8000,2777.134802
1474327.2,8000,2782.126292
-15678.4,8000,2787.185064
-15437.8,8000,2792.225378
2276968.0,8000,2799.39609
2562194.6,8000,2804.381005
1277021.2,8000,2809.365196
-6864.4,8000,2814.395486
868042.6,8000,2819.383441
2022313.8,8000,2826.592161
2010168.2,8000,2831.605693
2546848.8,8000,2836.623379
2559077.0,8000,2841.642227
817556.4,8000,2846.65937
2226769.2,8000,2853.879927
1128433.4,8000,2858.880108
2200521.0,8000,2863.87977
931523.0,8000,2868.874784
2961.6,8000,2873.901972
-15192.8,8000,2881.374825
-7758.2,8000,2886.448384
2496550.8,8000,2891.481625
-14249.6,8000,2896.559451
1727910.2,8000,2901.595672
445475.6,8000,2908.832433
469883.8,8000,2913.860761
951260.6,8000,2918.888822
829855.2,8000,2923.916913
875392.8,8000,2928.9476
516723.8,8000,2936.209318
521867.2,8000,2941.28749
395542.0,8000,2946.370751
363555.6,8000,2951.43232
451818.0,8000,2956.487601
561122.6,8000,2963.706667
428333.2,8000,2968.735522
678426.6,8000,2973.771598
848931.4,8000,2978.81337
510129.0,8000,2983.850966
895327.0,8000,2991.076828
546555.6,8000,2996.107942
408520.0,8000,3001.139091
407050.4,8000,3006.179506
-9245.0,8000,3011.25465
664797.8,8000,3018.480799
530366.2,8000,3023.511332
341951.8,8000,3028.545357
548816.8,8000,3033.578329
382528.6,8000,3038.626869
410964.0,8000,3045.812363
431432.4,8000,3050.802447
490115.0,8000,3055.786828
720832.8,8000,3060.774833
370087.6,8000,3065.764862
448333.2,8000,3072.929529
426788.8,8000,3077.917403
571312.6,8000,3082.912399
620798.2,8000,3087.904982
493411.6,8000,3092.89105
379616.0,8000,3100.070983
393813.8,8000,3105.065805
423290.8,8000,3110.055032
442715.4,8000,3115.043756
649975.2,8000,3120.037225
465158.0,8000,3127.184832
858888.2,8000,3132.183132
578321.2,8000,3137.16684
374363.6,8000,3142.154224
445906.6,8000,3147.141354
380718.8,8000,3154.29405
648780.4,8000,3159.286824
440303.0,8000,3164.282302
417811.6,8000,3169.269374
406246.4,8000,3174.240586
608292.4,8000,3181.788607
458046.4,8000,3186.8133
424634.6,8000,3191.814894
684563.6,8000,3196.800543
435805.6,8000,3201.790873
634502.0,8000,3209.165923
435692.2,8000,3214.150812
434314.4,8000,3219.137631
488762.4,8000,3224.126367
655288.0,8000,3229.127591
633949.2,8000,3236.307286
456370.6,8000,3241.298153
759140.8,8000,3246.294967
412088.8,8000,3251.287371
742282.4,8000,3256.279177
447269.6,8000,3263.45935
650122.8,8000,3268.467122
625807.8,8000,3273.459545
407757.2,8000,3278.450996
560308.6,8000,3283.438402
457321.4,8000,3290.714803
577329.0,8000,3295.723311
414908.2,8000,3300.730168
454316.2,8000,3305.736331
568843.8,8000,3310.756162
416162.4,8000,3317.946792
390756.6,8000,3322.945782
464010.0,8000,3327.94596
452545.6,8000,3332.941313
402499.6,8000,3337.943168
420087.2,8000,3345.354095
580157.4,8000,3350.354425
-2240.8,8000,3355.395583
492111.8,8000,3360.397102
398212.8,8000,3365.403056
-5288.0,8000,3372.877709
-6950.8,8000,3377.930195
532441.6,8000,3382.947534
646207.4,8000,3387.957421
455125.2,8000,3392.968616
412611.4,8000,3400.251329
429194.6,8000,3405.300506
437357.0,8000,3410.34199
427864.2,8000,3415.383445
476671.6,8000,3420.405382
437157.0,8000,3427.628529
426560.6,8000,3432.646377
434798.2,8000,3437.667904
466766.6,8000,3442.688182
407159.0,8000,3447.708752
423243.4,8000,3454.930219
441441.2,8000,3459.94951
458037.0,8000,3464.976276
408596.4,8000,3469.999141
387922.6,8000,3475.041671
390970.6,8000,3481.153279
446465.8,8000,3486.179475
447938.4,8000,3491.208073
458667.0,8000,3496.234686
423110.6,8000,3501.259456
383607.6,8000,3508.818679
515856.0,8000,3513.818795
404104.2,8000,3518.838169
385906.0,8000,3523.841868
414482.2,8000,3528.852264
471717.6,8000,3536.02899
426925.2,8000,3541.0158
435064.0,8000,3546.013376
386054.4,8000,3551.005717
379997.8,8000,3555.996114
669439.2,8000,3563.158181
441868.4,8000,3568.142424
419144.2,8000,3573.13191
393796.0,8000,3578.120511
457464.2,8000,3583.092165
553899.6,8000,3590.245715
465315.8,8000,3595.210351
423358.0,8000,3600.165634
435786.6,8000,3605.113681
660377.0,8000,3610.083451
449341.6,8000,3617.244959
570489.4,8000,3622.236575
322397.6,8000,3627.234217
420541.6,8000,3632.22398
547905.8,8000,3637.223512
419121.6,8000,3644.376737
387665.8,8000,3649.358561
430182.8,8000,3654.317929
-1145.6,8000,3659.33331
445351.8,8000,3664.304424
417079.2,8000,3671.456831
424960.0,8000,3676.434894
461093.2,8000,3681.41632
396320.4,8000,3686.400119
502788.8,8000,3691.378919
387061.4,8000,3698.547244
471163.0,8000,3703.53609
410292.0,8000,3708.521004
399712.4,8000,3713.51408
391460.8,8000,3718.498067
413795.2,8000,3725.667569
454978.4,8000,3730.655594
342285.0,8000,3735.664344
508308.2,8000,3740.654068
409844.2,8000,3745.649589
631803.0,8000,3752.804109
432201.6,8000,3757.781324
414935.6,8000,3762.756903
595075.8,8000,3767.734747
411126.2,8000,3772.714403
475955.4,8000,3779.884501
468318.4,8000,3784.874793
391556.8,8000,3789.874505
450402.2,8000,3794.86504
425102.0,8000,3799.861341
437620.2,8000,3807.043438
432414.6,8000,3812.047406
376333.2,8000,3817.046349
364911.4,8000,3822.054574
445656.4,8000,3827.074536
397181.8,8000,3834.251034
389185.6,8000,3839.249744
447275.2,8000,3844.241852
415231.2,8000,3849.241486
476764.4,8000,3854.240355
644445.4,8000,3861.422493
827218.6,8000,3866.422423
1051427.2,8000,3871.419937
1033533.4,8000,3876.41486
722831.8,8000,3881.40484
426175.0,8000,3888.870069
391289.6,8000,3893.864991
393461.4,8000,3898.859529
454168.6,8000,3903.853706
408314.8,8000,3908.851223
728873.0,8000,3915.993634
385091.4,8000,3920.967943
630851.2,8000,3925.945441
562913.4,8000,3930.926326
669917.4,8000,3935.903132
433978.4,8000,3943.100777
398575.2,8000,3948.102708
454113.8,8000,3953.098606
394799.4,8000,3958.102905
434865.6,8000,3963.090601
858851.6,8000,3970.246117
805718.6,8000,3975.224566
874311.6,8000,3980.19973
779238.8,8000,3985.17614
706633.0,8000,3990.165077
685872.2,8000,3997.334167
824615.8,8000,4002.327876
656767.4,8000,4007.318089
862269.0,8000,4012.304109
451270.4,8000,4017.283142
499919.8,8000,4024.456542
402057.2,8000,4029.45125
424215.4,8000,4034.424959
382265.6,8000,4039.460063
447631.0,8000,4044.456954
-8628.4,8000,4051.649496
802499.4,8000,4056.625315
-14045.2,8000,4061.651931
-4956.2,8000,4066.670913
851239.0,8000,4071.646666
533353.4,8000,4079.030452
554876.0,8000,4084.020127
-9277.8,8000,4089.047072
396254.4,8000,4094.031428
513745.8,8000,4099.015942
734459.6,8000,4106.280651
566731.8,8000,4111.259796
-8940.2,8000,4116.288769
430289.2,8000,4121.269742
1018049.6,8000,4126.244928
667537.8,8000,4133.428698
806481.8,8000,4138.429221
770035.2,8000,4143.426287
771510.8,8000,4148.456748
462976.2,8000,4153.433617
1998266.2,8000,4160.941349
-16181.6,8000,4165.983266
2588268.6,8000,4171.011887
2215511.8,8000,4176.037733
2030542.8,8000,4181.032866
-10251.4,8000,4188.574519
-10170.0,8000,4193.591327
2237519.8,8000,4198.565078
-9786.8,8000,4203.582492
1801294.2,8000,4208.556096
590585.0,8000,4216.033774
576817.0,8000,4221.064729
436929.8,8000,4226.106089
754045.6,8000,4231.1193
513567.2,8000,4236.125663
618308.0,8000,4243.66443
1241806.8,8000,4248.647089
